date,rainfall_mm,temp_max_c,temp_min_c,wind_max_kmh,temp_mean_c,month,season
2014-01-01,0.0,21.4,17.2,8.4,19.299999999999997,1,monsoon
2014-01-02,0.0,22.6,14.8,11.0,18.700000000000003,1,monsoon
2014-01-03,0.1,24.6,16.5,11.4,20.55,1,monsoon
2014-01-04,1.0,23.2,19.4,12.8,21.299999999999997,1,monsoon
2014-01-05,0.2,22.8,19.2,13.4,21.0,1,monsoon
2014-01-06,0.0,23.8,17.5,13.4,20.65,1,monsoon
2014-01-07,0.0,25.0,17.7,13.2,21.35,1,monsoon
2014-01-08,0.0,24.4,18.6,10.0,21.5,1,monsoon
2014-01-09,6.3,23.2,20.0,15.6,21.6,1,monsoon
2014-01-10,7.4,22.3,20.1,19.4,21.200000000000003,1,monsoon
2014-01-11,5.5,22.6,19.9,12.1,21.25,1,monsoon
2014-01-12,6.7,22.2,20.3,17.1,21.25,1,monsoon
2014-01-13,18.9,20.8,18.3,21.1,19.55,1,monsoon
2014-01-14,17.5,18.8,17.3,22.2,18.05,1,monsoon
2014-01-15,0.6,19.9,16.7,15.4,18.299999999999997,1,monsoon
2014-01-16,7.8,20.5,17.0,13.7,18.75,1,monsoon
2014-01-17,7.9,20.3,18.3,18.6,19.3,1,monsoon
2014-01-18,6.5,20.8,18.1,21.5,19.450000000000003,1,monsoon
2014-01-19,1.5,21.5,18.0,16.8,19.75,1,monsoon
2014-01-20,7.6,20.9,18.3,20.5,19.6,1,monsoon
2014-01-21,4.2,20.8,17.8,21.3,19.3,1,monsoon
2014-01-22,1.2,20.7,17.0,18.3,18.85,1,monsoon
2014-01-23,0.8,20.3,16.8,10.5,18.55,1,monsoon
2014-01-24,0.0,22.2,15.8,10.5,19.0,1,monsoon
2014-01-25,0.0,23.5,16.4,8.7,19.95,1,monsoon
2014-01-26,0.8,21.9,16.7,11.1,19.299999999999997,1,monsoon
2014-01-27,0.4,22.8,18.3,9.7,20.55,1,monsoon
2014-01-28,1.0,22.2,17.5,10.8,19.85,1,monsoon
2014-01-29,1.1,22.9,19.6,12.6,21.25,1,monsoon
2014-01-30,0.4,22.4,16.6,8.7,19.5,1,monsoon
2014-01-31,0.0,23.4,17.6,9.7,20.5,1,monsoon
2014-02-01,0.0,23.7,17.3,8.8,20.5,2,dry
2014-02-02,0.0,24.2,16.2,13.5,20.2,2,dry
2014-02-03,0.0,24.8,17.4,13.1,21.1,2,dry
2014-02-04,0.0,24.8,18.8,11.4,21.8,2,dry
2014-02-05,0.0,25.9,19.4,16.5,22.65,2,dry
2014-02-06,0.0,26.6,20.7,16.4,23.65,2,dry
2014-02-07,0.0,27.5,20.6,14.0,24.05,2,dry
2014-02-08,0.0,27.8,21.3,14.8,24.55,2,dry
2014-02-09,0.0,28.5,21.5,13.2,25.0,2,dry
2014-02-10,20.2,22.9,20.0,18.6,21.45,2,dry
2014-02-11,11.2,20.4,19.3,15.3,19.85,2,dry
2014-02-12,3.8,23.2,18.9,9.2,21.049999999999997,2,dry
2014-02-13,1.0,22.7,19.0,22.9,20.85,2,dry
2014-02-14,1.5,19.7,18.7,16.7,19.2,2,dry
2014-02-15,0.0,21.9,18.0,9.5,19.95,2,dry
2014-02-16,0.0,23.9,17.8,14.8,20.85,2,dry
2014-02-17,0.0,25.4,18.2,16.7,21.799999999999997,2,dry
2014-02-18,0.0,27.2,19.8,15.3,23.5,2,dry
2014-02-19,2.1,21.6,17.1,31.4,19.35,2,dry
2014-02-20,5.4,18.9,17.1,18.2,18.0,2,dry
2014-02-21,6.3,21.7,18.2,7.4,19.95,2,dry
