date,rainfall_mm,temp_max_c,temp_min_c,wind_max_kmh,temp_mean_c,month,season,_source
2018-01-01,3.8,23.5,20.5,24.0,22.0,1,monsoon,api
2018-01-02,3.8,23.6,21.0,18.1,22.3,1,monsoon,api
2018-01-03,3.5,24.0,22.0,15.9,23.0,1,monsoon,api
2018-01-04,3.4,24.5,22.5,15.3,23.5,1,monsoon,api
2018-01-05,1.3,24.8,22.2,12.6,23.5,1,monsoon,api
2018-01-06,0.0,25.5,21.6,14.4,23.55,1,monsoon,api
2018-01-07,0.0,26.1,21.8,19.8,23.950000000000003,1,monsoon,api
2018-01-08,0.0,27.4,22.4,15.5,24.9,1,monsoon,api
2018-01-09,2.0,24.0,19.5,36.5,21.75,1,monsoon,api
2018-01-10,0.9,21.5,18.5,23.8,20.0,1,monsoon,api
2018-01-11,0.4,20.5,17.8,19.8,19.15,1,monsoon,api
2018-01-12,12.3,20.2,18.8,23.3,19.5,1,monsoon,api
2018-01-13,5.9,21.7,19.5,24.4,20.6,1,monsoon,api
2018-01-14,4.5,22.1,20.6,19.5,21.35,1,monsoon,api
2018-01-15,3.8,23.4,19.6,17.1,21.5,1,monsoon,api
2018-01-16,1.7,23.5,20.4,16.3,21.95,1,monsoon,api
2018-01-17,0.0,23.1,19.2,10.4,21.15,1,monsoon,api
2018-01-18,0.0,23.1,17.6,8.9,20.35,1,monsoon,api
2018-01-19,0.7,22.9,19.0,18.8,20.95,1,monsoon,api
2018-01-20,2.8,23.2,21.1,12.1,22.15,1,monsoon,api
2018-01-21,0.7,24.4,21.2,11.4,22.799999999999997,1,monsoon,api
2018-01-22,4.1,23.8,20.9,13.8,22.35,1,monsoon,api
2018-01-23,3.1,24.1,21.5,16.9,22.8,1,monsoon,api
2018-01-24,2.5,24.5,21.8,13.6,23.15,1,monsoon,api
2018-01-25,2.1,24.5,21.3,16.6,22.9,1,monsoon,api
2018-01-26,1.8,24.5,21.8,14.5,23.15,1,monsoon,api
2018-01-27,12.4,24.3,22.6,20.5,23.450000000000003,1,monsoon,api
2018-01-28,0.3,25.2,22.6,18.0,23.9,1,monsoon,api
2018-01-29,15.7,23.8,20.0,34.0,21.9,1,monsoon,api
2018-01-30,0.0,22.5,19.6,16.5,21.05,1,monsoon,api
2018-01-31,4.8,20.2,18.5,30.3,19.35,1,monsoon,api
2018-02-01,0.5,19.8,16.5,28.6,18.15,2,dry,api
2018-02-02,2.1,20.9,18.5,29.2,19.7,2,dry,api
2018-02-03,0.7,19.6,17.6,29.7,18.6,2,dry,api
2018-02-04,0.0,19.8,17.0,18.8,18.4,2,dry,api
2018-02-05,7.6,18.9,16.9,30.3,17.9,2,dry,api
