supplier_id,product_id,quantity_units,cost_vnd
SUP_001,PROD_010,3046.0,72674514.0
SUP_002,PROD_004,1582.8,32186238.0
SUP_002,PROD_006,2483.04,52407042.0
SUP_003,PROD_007,701.88,49019532.0
SUP_003,PROD_008,1590.68,112206567.0
SUP_004,PROD_005,3280.6,80893035.0
SUP_004,PROD_006,322.56,6494423.0
SUP_005,PROD_007,2339.12,138014903.0
SUP_005,PROD_008,1244.4,86304118.0
SUP_006,PROD_001,2619.0,345650382.0
SUP_006,PROD_002,2603.0,520982641.0
SUP_006,PROD_003,2456.0,290942672.0
SUP_006,PROD_004,2374.2,62545925.0
SUP_006,PROD_008,275.92,23042355.0
SUP_006,PROD_009,3286.0,734496578.0
